LATITUDE,LONGITUDE,DATE,EVAP,PRCP,TMAX,TMIN
28.7158,-97.1744,20041011,46,0,300,161
28.7158,-97.1744,20041012,43,0,294,161
28.7158,-97.1744,20041013,41,0,289,172
28.7158,-97.1744,20041014,20,513,306,167
28.7158,-97.1744,20041015,41,0,228,106
28.7158,-97.1744,20041016,36,0,289,122
28.7158,-97.1744,20041017,33,3,306,122
28.7158,-97.1744,20041018,36,0,328,128
28.7158,-97.1744,20041019,41,0,328,244
28.7158,-97.1744,20041020,20,0,317,233
28.7158,-97.1744,20041021,30,0,333,222
28.7158,-97.1744,20041022,30,0,328,228
28.7158,-97.1744,20041023,36,18,322,228
28.7158,-97.1744,20041024,41,155,322,217
28.7158,-97.1744,20041025,36,0,322,211
28.7158,-97.1744,20041026,33,0,317,189
28.7158,-97.1744,20041027,23,117,306,206
28.7158,-97.1744,20041028,30,8,311,228
28.7158,-97.1744,20041029,33,0,311,206
28.7158,-97.1744,20041030,36,0,317,206
28.7158,-97.1744,20041031,38,3,317,206
28.7158,-97.1744,20041101,33,130,306,183
28.7158,-97.1744,20041102,8,183,206,150
28.7158,-97.1744,20041103,18,0,189,89
28.7158,-97.1744,20041104,36,0,194,61
28.7158,-97.1744,20041105,36,0,233,94
28.7158,-97.1744,20041106,36,0,233,78
28.7158,-97.1744,20041107,33,0,267,89
28.7158,-97.1744,20041108,33,0,283,89
28.7158,-97.1744,20041109,30,0,272,156
28.7158,-97.1744,20041110,28,0,256,144
28.7158,-97.1744,20041111,30,0,272,156
28.7158,-97.1744,20041112,33,0,228,83
28.7158,-97.1744,20041113,20,0,228,89
28.7158,-97.1744,20041114,13,0,156,117
28.7158,-97.1744,20041115,10,84,183,117
28.7158,-97.1744,20041116,15,41,250,183
28.7158,-97.1744,20041117,20,53,272,189
28.7158,-97.1744,20041118,13,183,250,150
28.7158,-97.1744,20041119,23,5,256,144
28.7158,-97.1744,20041120,13,122,233,167
28.7158,-97.1744,20041121,13,437,272,200
28.7158,-97.1744,20041122,8,599,239,206
28.7158,-97.1744,20041123,13,38,267,194
28.7158,-97.1744,20041124,23,56,278,117
28.7158,-97.1744,20041125,46,0,178,56
28.7158,-97.1744,20041126,28,0,194,-9999
28.7158,-97.1744,20041127,18,3,256,100
28.7158,-97.1744,20041128,41,0,228,72
28.7158,-97.1744,20041129,28,0,250,67
28.7158,-97.1744,20041130,20,3,283,78
28.7158,-97.1744,20041201,13,8,128,11
28.7158,-97.1744,20041202,13,0,128,33
28.7158,-97.1744,20041203,18,0,183,72
28.7158,-97.1744,20041204,10,8,183,72
28.7158,-97.1744,20041205,15,0,183,72
28.7158,-97.1744,20041206,10,3,244,72
28.7158,-97.1744,20041207,8,5,250,128
28.7158,-97.1744,20041208,33,0,233,94
28.7158,-97.1744,20041209,10,0,217,111
28.7158,-97.1744,20041210,36,0,272,94
28.7158,-97.1744,20041211,43,0,228,78
28.7158,-97.1744,20041212,30,0,239,61
28.7158,-97.1744,20041213,28,0,244,61
28.7158,-97.1744,20041214,43,0,267,44
28.7158,-97.1744,20041215,36,0,122,-11
28.7158,-97.1744,20041216,23,0,167,-6
28.7158,-97.1744,20041217,15,0,172,94
28.7158,-97.1744,20041218,28,0,172,44
28.7158,-97.1744,20041219,28,0,206,44
28.7158,-97.1744,20041220,30,0,206,33
28.7158,-97.1744,20041221,30,0,222,28
28.7158,-97.1744,20041222,28,0,261,122
28.7158,-97.1744,20041223,30,3,139,0
28.7158,-97.1744,20041224,23,0,139,-6
28.7158,-97.1744,20041225,20,0,139,-28
28.7158,-97.1744,20041226,28,0,139,-44
28.7158,-97.1744,20041227,20,0,139,-44
28.7158,-97.1744,20041228,3,0,167,39
28.7158,-97.1744,20041229,3,0,239,100
28.7158,-97.1744,20041230,20,0,256,100
28.7158,-97.1744,20041231,18,0,244,139
28.7158,-97.1744,20050101,20,0,250,139
28.7158,-97.1744,20050102,15,10,261,139
28.7158,-97.1744,20050103,13,23,211,139
28.7158,-97.1744,20050104,20,5,267,200
28.7158,-97.1744,20050105,23,10,267,206
28.7158,-97.1744,20050106,13,8,250,56
28.7158,-97.1744,20050107,10,0,72,39
28.7158,-97.1744,20050108,5,3,106,44
28.7158,-97.1744,20050109,20,3,178,44
28.7158,-97.1744,20050110,18,0,256,44
28.7158,-97.1744,20050111,15,0,244,172
28.7158,-97.1744,20050112,28,3,267,172
28.7158,-97.1744,20050113,18,18,239,111
28.7158,-97.1744,20050114,43,0,161,33
28.7158,-97.1744,20050115,30,0,161,33
